team_a_id,team_b_id,score_a,score_b
0,171,121,78
0,58,85,84
0,42,67,63
0,149,86,61
0,47,94,54
0,35,102,72
0,8,101,61
0,103,101,60
0,39,89,61
0,105,101,83
0,206,102,50
0,90,112,71
0,70,96,66
0,112,74,72
0,24,88,91
0,46,82,72
0,82,81,71
0,38,86,72
0,26,74,62
0,19,75,72
0,9,83,71
0,57,87,75
0,28,86,56
0,7,91,80
0,1,63,68
0,73,77,67
0,5,84,70
0,27,71,68
1,40,75,60
1,241,95,54
1,336,114,59
1,190,100,62
1,20,78,66
1,341,100,42
1,216,93,56
1,14,80,71
1,3,67,66
1,9,66,60
1,208,97,73
1,17,81,82
1,126,85,79
1,63,91,87
1,10,84,73
1,34,82,75
1,62,71,56
1,59,80,50
1,58,90,69
1,52,72,58
1,123,67,49
1,25,68,71
1,86,70,54
1,36,67,54
1,74,101,64
1,79,100,56
1,18,77,51
1,30,93,64
2,3,93,87
2,202,93,67
2,295,84,49
2,28,69,65
2,11,71,67
2,234,103,73
2,320,98,61
2,35,97,68
2,13,96,75
2,252,96,62
2,47,68,45
2,284,107,71
2,196,99,71
2,98,97,78
2,85,101,76
2,42,86,73
2,69,89,82
2,50,84,77
2,43,77,51
2,55,88,53
2,21,86,83
2,61,84,47
2,20,78,82
2,17,75,78
2,6,73,66
2,44,87,80
2,4,73,57
2,67,89,79
3,337,104,64
3,63,78,76
3,29,82,68
3,209,80,45
3,42,80,84
3,68,90,78
3,11,73,77
3,78,80,70
3,351,102,61
3,237,90,60
3,267,94,72
3,54,74,76
3,23,92,77
3,16,91,67
3,45,96,79
3,12,98,94
3,56,79,61
3,35,67,76
3,91,95,48
3,13,100,77
3,37,86,67
3,22,92,83
3,65,94,75
3,40,84,71
3,14,111,77
3,94,108,74
4,334,88,50
4,308,102,62
4,94,96,80
4,331,96,57
4,15,83,82
4,71,78,60
4,74,95,64
4,356,132,68
4,7,81,58
4,27,66,62
4,319,78,53
4,228,91,60
4,287,89,61
4,55,80,59
4,44,70,60
4,61,83,71
4,20,63,84
4,43,70,79
4,50,87,57
4,67,97,67
4,85,95,61
4,42,55,62
4,6,70,67
4,21,69,79
4,98,75,59
4,17,73,82
4,69,86,65
5,354,113,55
5,240,113,70
5,17,81,77
5,237,84,65
5,13,86,90
5,221,98,58
5,142,87,73
5,11,61,74
5,16,75,62
5,26,88,80
5,19,80,83
5,54,91,48
5,299,90,55
5,112,73,65
5,103,81,55
5,27,75,69
5,57,79,68
5,73,77,67
5,105,89,70
5,7,88,82
5,46,75,66
5,9,82,85
5,24,90,92
5,38,71,51
5,70,101,65
5,28,94,95
5,82,80,54
6,283,75,57
6,163,65,48
6,171,78,45
6,35,73,72
6,352,91,45
6,74,78,74
6,16,73,76
6,79,66,56
6,63,82,67
6,354,80,38
6,205,99,57
6,14,94,85
6,149,69,60
6,43,67,60
6,17,69,65
6,44,77,55
6,55,77,48
6,69,103,73
6,42,79,70
6,50,79,55
6,21,77,66
6,98,66,52
6,85,78,64
6,20,56,69
6,67,102,62
6,61,82,75
7,275,82,51
7,171,87,77
7,13,87,80
7,80,97,79
7,113,80,71
7,17,86,56
7,319,109,62
7,103,81,65
7,73,85,57
7,77,79,59
7,35,88,60
7,156,101,60
7,24,89,73
7,46,81,73
7,112,93,85
7,27,79,72
7,70,69,64
7,28,67,69
7,38,67,72
7,105,93,63
7,82,68,64
7,19,80,77
7,9,74,76
7,26,74,82
7,57,70,66
8,326,98,43
8,45,83,68
8,71,90,63
8,69,77,65
8,280,122,50
8,13,95,85
8,105,100,61
8,22,94,59
8,337,109,58
8,28,82,72
8,193,98,70
8,82,91,82
8,235,96,56
8,200,99,93
8,107,80,72
8,140,82,47
8,41,89,77
8,122,86,65
8,108,68,66
8,31,73,65
8,180,80,87
8,143,81,61
8,109,71,62
9,237,80,69
9,14,69,66
9,179,79,60
9,22,83,66
9,230,84,56
9,232,89,56
9,25,74,58
9,27,71,52
9,112,76,72
9,144,92,69
9,171,79,70
9,173,114,97
9,19,56,58
9,70,80,51
9,57,76,66
9,38,81,60
9,46,80,63
9,82,68,52
9,105,91,48
9,103,88,79
9,73,73,76
9,24,71,92
9,28,82,59
9,26,66,60
10,359,104,45
10,354,106,70
10,22,96,88
10,217,106,81
10,43,74,64
10,231,87,46
10,339,104,47
10,14,80,89
10,38,87,78
10,113,99,73
10,16,62,83
10,184,94,54
10,62,90,70
10,59,76,80
10,123,75,62
10,18,70,79
10,86,100,59
10,52,85,71
10,34,88,74
10,79,76,65
10,58,88,80
10,30,118,77
10,44,82,71
10,126,87,70
10,25,74,77
10,36,75,80
10,74,77,62
10,29,92,89
11,321,79,55
11,327,110,47
11,188,89,62
11,21,86,84
11,349,72,49
11,20,61,56
11,300,83,59
11,40,71,63
11,72,79,60
11,93,72,54
11,89,90,67
11,77,73,57
11,68,103,98
11,49,69,64
11,76,64,62
11,39,75,67
11,71,85,58
11,15,72,81
12,208,105,61
12,50,105,93
12,291,92,62
12,333,104,75
12,326,109,74
12,146,83,78
12,53,89,74
12,31,96,71
12,34,88,69
12,170,83,72
12,113,77,70
12,58,98,67
12,321,96,53
12,91,83,71
12,13,96,90
12,56,84,73
12,40,64,80
12,14,68,93
12,94,88,56
12,22,80,55
12,65,71,68
12,45,91,92
12,35,84,76
12,37,82,69
12,54,80,81
12,16,65,69
12,23,88,80
13,277,91,62
13,15,103,96
13,100,115,76
13,105,105,72
13,36,90,84
13,329,97,55
13,51,104,93
13,150,92,81
13,99,102,78
13,22,89,74
13,40,88,92
13,94,97,82
13,45,83,81
13,16,73,79
13,54,90,64
13,37,100,97
13,35,96,92
13,65,93,74
13,91,89,75
13,14,117,115
13,56,90,83
13,23,88,98
14,299,109,77
14,170,93,56
14,223,79,75
14,160,84,83
14,354,115,61
14,121,82,58
14,17,93,86
14,198,108,80
14,220,103,74
14,16,86,75
14,65,94,87
14,35,73,95
14,91,108,74
14,23,76,90
14,56,85,81
14,45,83,79
14,22,77,85
14,94,88,68
14,54,94,86
14,37,99,84
14,40,105,85
15,227,108,74
15,155,93,60
15,330,97,49
15,44,96,81
15,35,74,85
15,65,63,58
15,256,91,64
15,93,79,66
15,22,66,78
15,172,85,59
15,76,95,83
15,68,71,77
15,72,84,70
15,71,90,73
15,77,92,68
15,39,86,79
15,49,65,60
15,89,88,83
16,194,76,61
16,185,95,56
16,337,99,66
16,214,91,66
16,215,89,60
16,103,85,60
16,20,76,81
16,74,60,62
16,360,94,52
16,359,105,54
16,40,85,71
16,37,87,82
16,22,78,80
16,23,86,85
16,35,77,69
16,65,84,66
16,94,73,64
16,56,73,63
16,45,89,66
16,54,69,73
16,91,78,59
17,279,98,60
17,119,98,77
17,261,80,63
17,58,84,83
17,205,82,50
17,92,76,72
17,56,82,58
17,147,101,90
17,160,87,57
17,61,102,80
17,67,73,71
17,98,88,74
17,21,84,71
17,44,92,73
17,50,80,88
17,20,61,64
17,55,70,63
17,69,67,72
17,85,100,72
17,43,80,68
17,42,65,73
18,352,87,53
18,348,81,62
18,274,91,53
18,192,104,78
18,57,83,78
18,72,73,80
18,198,94,69
18,40,88,69
18,83,86,73
18,347,84,60
18,105,80,72
18,248,95,51
18,52,85,95
18,30,76,61
18,62,84,60
18,59,70,55
18,34,72,68
18,25,80,85
18,79,100,97
18,123,73,66
18,86,67,47
18,74,72,59
18,63,61,58
18,26,70,66
18,126,94,68
18,29,86,83
18,58,75,70
19,298,86,53
19,176,96,66
19,347,69,50
19,45,105,99
19,48,84,72
19,85,86,85
19,160,80,73
19,292,72,63
19,71,71,50
19,24,90,60
19,277,78,55
19,346,86,55
19,26,72,69
19,38,83,77
19,82,90,55
19,57,77,58
19,46,76,66
19,73,76,57
19,103,80,68
19,27,52,57
19,112,87,64
19,105,74,61
19,70,82,67
19,28,52,72
20,222,94,51
20,25,74,87
20,186,77,46
20,249,76,57
20,79,71,61
20,74,71,60
20,54,80,60
20,30,77,76
