team_id,name,conference,seed,region,wins,losses,ppg,opp_ppg,off_efficiency,def_efficiency,sos
0,Duke,ACC,1,East,33,5,83.7,66.1,119.6,85.5,12.7
1,Siena,MAAC,16,East,22,13,73.1,72.2,104.7,106.0,1.0
2,Ohio State,Big Ten,8,East,27,7,79.5,71.4,111.4,96.2,7.8
3,TCU,Big 12,9,East,25,9,79.5,70.6,109.3,98.6,6.5
4,St. John's,Big East,5,East,32,5,82.7,61.5,107.1,91.9,7.2
5,Northern Iowa,MVC,12,East,27,12,72.1,72.0,103.2,100.1,3.2
6,Kansas,Big 12,4,East,31,9,83.7,66.5,118.2,94.2,8.5
7,Cal Baptist,WAC,13,East,23,11,76.5,69.2,112.0,98.8,0.8
8,Louisville,ACC,6,East,31,11,81.8,69.0,118.0,94.4,5.4
9,South Florida,AAC,11,East,25,12,72.2,69.1,108.3,98.4,5.9
10,Michigan State,Big Ten,3,East,33,11,84.4,63.2,115.8,89.4,12.4
11,North Dakota State,Summit,14,East,23,12,76.5,68.3,102.9,96.7,0.1
12,UCLA,Big Ten,7,East,28,9,83.1,66.9,113.3,96.1,9.7
13,UCF,Big 12,10,East,29,11,74.2,71.2,109.9,102.1,5.2
14,UConn,Big East,2,East,35,5,88.0,64.8,117.2,87.6,10.9
15,Furman,SoCon,15,East,26,14,75.6,63.9,104.6,104.8,0.4
16,Arizona,Big 12,1,West,32,5,89.2,60.8,118.7,94.1,11.1
17,LIU,NEC,16,West,22,13,69.0,72.2,97.6,106.7,0.8
18,Villanova,Big East,8,West,33,10,82.8,63.6,110.9,97.5,10.2
19,Utah State,MWC,9,West,24,11,79.8,72.6,112.1,97.7,5.0
20,Wisconsin,Big Ten,5,West,28,8,80.4,72.1,113.2,94.7,5.9
21,High Point,Big South,12,West,24,12,78.2,73.8,106.1,97.0,4.7
22,Arkansas,SEC,4,West,32,8,79.6,68.9,116.5,94.9,12.3
23,Hawaii,Big West,13,West,26,12,81.5,70.7,104.1,101.6,6.0
24,BYU,Big 12,6,West,30,9,83.8,65.0,108.6,95.6,8.7
25,NC State,ACC,11,West,25,12,78.3,66.0,109.1,98.8,1.5
26,Gonzaga,WCC,3,West,33,6,80.3,66.6,119.0,90.1,11.3
27,Kennesaw State,ASUN,14,West,26,11,75.4,70.5,110.5,96.6,3.6
28,Miami,ACC,7,West,28,8,85.2,67.0,119.2,94.3,8.2
29,Missouri,SEC,10,West,26,9,77.4,67.7,109.4,92.1,9.3
30,Purdue,Big Ten,2,West,32,9,80.2,65.4,128.2,88.3,8.3
31,Queens,ASUN,15,West,22,13,75.6,74.9,101.7,98.3,0.6
32,Michigan,Big Ten,1,Midwest,35,6,78.1,63.9,124.2,96.4,13.1
33,Howard,MEAC,16,Midwest,23,11,70.2,71.6,102.8,105.8,0
34,Georgia,SEC,8,Midwest,26,7,75.3,69.4,104.3,95.6,7.6
35,Saint Louis,A-10,9,Midwest,31,10,81.0,66.8,107.8,95.5,9.1
36,Texas Tech,Big 12,5,Midwest,32,8,91.0,65.9,116.9,94.7,8.6
37,Akron,MAC,12,Midwest,30,14,71.6,68.3,107.5,102.7,1.1
38,Alabama,SEC,4,Midwest,27,3,81.5,65.2,117.3,90.5,7.3
39,Hofstra,CAA,13,Midwest,20,12,76.1,73.0,107.4,100.7,5.7
40,Tennessee,SEC,6,Midwest,29,7,78.7,64.7,107.3,95.2,8.7
41,SMU,ACC,11,Midwest,25,9,77.6,74.2,107.6,97.9,3.3
42,Virginia,ACC,3,Midwest,32,4,82.1,65.2,123.0,94.7,12.6
43,Wright State,Horizon,14,Midwest,22,13,70.8,71.4,105.0,99.9,6.2
44,Kentucky,SEC,7,Midwest,30,5,81.2,65.8,112.5,97.0,8.3
45,Santa Clara,WCC,10,Midwest,23,8,79.6,72.4,114.5,103.8,1.1
46,Iowa State,Big 12,2,Midwest,34,2,88.1,65.3,115.3,97.0,12.5
47,Tennessee State,OVC,15,Midwest,19,13,71.3,71.3,101.1,107.2,0
48,Florida,SEC,1,South,34,9,81.5,64.6,120.6,87.9,13.3
49,Lehigh,Patriot,16,South,22,11,78.0,73.9,100.7,102.2,0
50,Clemson,ACC,8,South,31,9,80.1,66.9,113.1,96.2,8.3
51,Iowa,Big Ten,9,South,27,11,80.0,67.7,107.4,94.7,4.5
52,Vanderbilt,SEC,5,South,29,9,80.9,70.7,121.8,93.8,5.9
53,McNeese,Southland,12,South,24,11,71.3,68.7,107.1,98.9,2.2
54,Nebraska,Big Ten,4,South,30,11,81.3,63.0,115.1,95.7,8.4
55,Troy,Sun Belt,13,South,25,13,77.2,74.2,103.3,104.6,1.4
56,North Carolina,ACC,6,South,29,10,82.7,66.5,110.2,96.4,7.0
57,VCU,A-10,10,South,25,9,78.0,62.1,109.8,99.0,4.1
58,Illinois,Big Ten,3,South,34,8,80.7,63.0,119.6,87.3,9.8
59,Penn,Ivy,14,South,22,12,74.9,70.6,107.2,102.9,1.6
60,Saint Mary's,WCC,7,South,27,10,81.1,71.4,110.3,95.7,7.4
61,Texas A&M,SEC,10,South,27,10,72.1,71.0,110.7,101.8,9.7
62,Houston,Big 12,2,South,32,6,83.3,70.3,113.6,92.4,8.3
63,Idaho,Big Sky,15,South,18,8,69.4,74.2,99.9,102.4,0
